country,year,region,total_energy_production,total_energy_consumption,co2_emissions,oil_products_consumption,refined_oil_products_production,natural_gas_production,natural_gas_consumption,coal_lignite_production,coal_lignite_consumption,crude_oil_production,share_wind_solar_electricity_production,share_renewables_electricity_production,share_electricity_final_energy_consumption,average_co2_factor,co2_ppp,energy_intensity_gdp_ppp,electricity_production,electricity_consumption,country_cod,latitude,longitude
Algeria,1990,Arab States,100.1127486,22.18807822,52.9819211,8.08,25.395,45.68403547,14.30199113,0,0.94,57.85,0,0.782971813,8.376592051,2.387855342,0.22888934,0.095855614,17.242,13.693,DZ,28.033886,1.659626
Algeria,1991,Arab States,102.5861714,23.46995895,57.14997082,8.45,25.435,49.53198889,15.31299524,0,1.171,57.076,0,1.580793094,7.994748411,2.43502645,0.249894638,0.10262502,18.535,14.058,DZ,28.033886,1.659626
Algeria,1992,Arab States,104.205908,24.0243431,57.26243,8.349,25.459,51.67001137,15.72700964,0,1.056,56.904,0,1.022925876,8.490068444,2.383516992,0.245959108,0.103191674,19.454,15.13,DZ,28.033886,1.659626
Algeria,1993,Arab States,104.9287453,24.11023809,59.19870218,8.39,25.463,52.38599054,16.59698369,0,1.015,56.995,0,1.70919479,8.291029047,2.455334616,0.25973031,0.105782042,20.653,15.144,DZ,28.033886,1.659626
Algeria,1994,Arab States,100.6125961,23.23962661,56.34792747,7.562,23.971,48.20601995,16.11700447,0,0.943,56.312,0,0.783869292,9.170605459,2.424648572,0.249467931,0.102888284,21.177,15.545,DZ,28.033886,1.659626
Algeria,1995,Arab States,106.7216699,24.24764305,56.82881237,7.446,24.632,54.85105523,16.78699248,0,0.901,56.753,0,0.921504966,9.543157538,2.343683972,0.242386276,0.103421058,20.944,16.102,DZ,28.033886,1.659626
Algeria,1996,Arab States,112.6592982,23.47810426,56.16572068,7.224,24.007,58.18703399,16.72101687,0,0.659,59.684,0,0.616241384,10.08425812,2.392259616,0.230123017,0.096194834,21.907,16.697,DZ,28.033886,1.659626
Algeria,1997,Arab States,121.6419902,24.05880916,58.07467449,7.239,26.374,67.07607734,17.8359948,0,0.541,60.9,0,0.327011118,10.22681679,2.413863218,0.2353555,0.097501589,22.935,17.123,DZ,28.033886,1.659626
Algeria,1998,Arab States,127.0935171,24.89889446,59.49442937,7.305,26.107,71.71104545,18.35002275,0,0.837,62.228,0,0.85114806,10.56159825,2.389440602,0.229409364,0.096009653,25.26,18.674,DZ,28.033886,1.659626
Algeria,1999,Arab States,136.9825527,26.57925573,63.24706466,7.868,28.431,80.54808681,19.53901525,0,0.849,64.412,0,0.758169935,10.37934444,2.379564925,0.236317295,0.099311136,26.775,19.991,DZ,28.033886,1.659626
Algeria,2000,Arab States,142.2282557,26.99892121,64.22980202,8.258,29.27,82.13194557,19.59200592,0,0.773,68.002,0,0.195751468,10.65191865,2.378976609,0.231203478,0.097186108,27.586,21.211,DZ,28.033886,1.659626
Algeria,2001,Arab States,136.7830084,27.05377713,65.74165664,8.394,30.272,77.26694166,20.14401982,0,0.794,66.739,0,0.239558379,11.09343573,2.430036158,0.229753004,0.094547154,28.803,22.302,DZ,28.033886,1.659626
Algeria,2002,Arab States,143.1438609,28.9383738,71.67679253,9.255,29.832,79.51502836,20.88500608,0,1.181,71.029,0,0.191719081,10.69533146,2.476877001,0.237211205,0.09577028,29.731,23.28,DZ,28.033886,1.659626
Algeria,2003,Arab States,155.3180083,30.75453663,74.89537767,9.55,30.198,84.00098067,22.96699658,0,1.094,79.176,0,0.833700371,11.18290633,2.435262757,0.231215458,0.094944768,31.786,25.373,DZ,28.033886,1.659626
Algeria,2004,Arab States,157.8929887,31.13651632,75.9820417,10.16,27.154,82.80899785,22.55998342,0,1.303,82.721,0,0.749768498,10.88829661,2.440287183,0.224899506,0.092161082,33.477,26.288,DZ,28.033886,1.659626
